시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
충청북도,충주시,충주교현초등학교 운동장,충청북도 충주시 교현동 339-1,127.936678,36.974072,2576
충청북도,충주시,대가미공원,충청북도 충주시 교현동 714-0,127.925197,36.980898,9818
충청북도,충주시,충주중앙중학교 운동장,충청북도 충주시 교현동 1088-0,127.930701,36.981533,1288
충청북도,청주시,석성초등학교 운동장,충청북도 청주시 청원구 북이면 내둔리 344,127.51374087453421,36.74848427755441,2371
충청북도,충주시,충주 관아공원,충청북도 충주시 성내동 232-2,127.936202,36.970501,1179
충청북도,충주시,충주여자중학교 운동장,충청북도 충주시 교현동 369-1,127.934404,36.975957,2076
충청북도,청주시 청원구,대길초등학교 운동장,충청북도 청주시 청원구 북이면 대길리 228,127.55872753147762,36.7323584237813,1152
충청북도,청주시 청원구,북이초등학교 운동장,충청북도 청주시 청원구 북이면 내추리 2-3,127.55554832230935,36.76165220274669,3030
충청북도,청주시 청원구,각리중학교 운동장,충청북도 청주시 청원구 오창읍 각리 637-4,127.42189433167272,36.70875700307633,1503
충청북도,청주시,북이면사무소 주차장,충청북도 청주시 청원구 북이면 신대리 4-8,127.54190751450784,36.73919298440515,909
충청북도,청주시 청원구,오창초등학교 운동장,충청북도 청주시 청원구 오창읍 장대리 238,127.45782100263102,36.74029905707404,3765
충청북도,청주시 청원구,각리초등학교 운동장,충청북도 청주시 청원구 오창읍 각리 646-2,127.4241873941267,36.706407487663014,981
충청북도,제천시,동명초등학교 운동장,충청북도 제천시 천남동 9-45,128.1940202237496,37.13333339366881,562
충청북도,제천시,명지초등학교 운동장,충청북도 제천시 명지동 46-0,128.2054072656209,37.11844776230591,3872
충청북도,제천시,제천시청,충청북도 제천시 천남동 12-2,128.19125719598853,37.13248861744821,6061
충청북도,제천시,제천동중학교 운동장,충청북도 제천시 신백동 21-0,128.23438922710355,37.13273933412353,1543
충청북도,제천시,내토초등학교 운동장,충청북도 제천시 신백동 132-0,128.22884463748372,37.13408970311929,1237
충청북도,제천시,신백초등학교 운동장,충청북도 제천시 신백동 212-7,128.22633255633826,37.128248801002,1150
충청북도,제천시,제천상업고등학교 운동장,충청북도 제천시 신백동 182-3,128.2282301106867,37.13319796406564,4697
충청북도,제천시,두학초등학교 운동장,충청북도 제천시 흑석동 436-0,128.24481763879191,37.13440698489407,926
충청북도,제천시,내토중학교 운동장,충청북도 제천시 장락동 687-1,128.22220921702566,37.144697223523515,1021
충청북도,제천시,장락초등학교 운동장,충청북도 제천시 장락동 626-0,128.22256772279943,37.15430712595068,850
충청북도,제천시,대제중학교 운동장,충청북도 제천시 청전동 526-22,128.19997757635994,37.147024579173646,907
충청북도,제천시,의림지동주민센터 앞(비행장),충청북도 제천시 고암동 1179-1,128.21505283747746,37.16262173550178,25758
충청북도,제천시,제천시립도서관,충청북도 제천시 장락동 672-8,128.22057752992157,37.14502438601789,364
충청북도,제천시,제천여자중학교 운동장,충청북도 제천시 청전동 71-1,128.21895897772126,37.15323750379251,8328
충청북도,제천시,중앙초등학교 운동장,충청북도 제천시 청전동 625-0,128.21516361604836,37.1529359302545,1253
충청북도,제천시,제천보건복지센터,충청북도 제천시 청전동 110-0,128.21588265768335,37.148950409834185,1879
충청북도,제천시,제천고등학교 운동장,충청북도 제천시 청전동 162-0,128.2169855728486,37.14296889194094,2739
충청북도,제천시,대원대학교 운동장,충청북도 제천시 신월동 599-0,128.19140341760334,37.17579546798715,5415
충청북도,제천시,세명대학교 운동장,충청북도 제천시 신월동 557-0,128.19790753995173,37.1800176394354,5862
충청북도,제천시,용두초등학교 운동장,충청북도 제천시 하소동 405-0,128.1969040294983,37.14368553111228,1545
충청북도,제천시,제천의림여자중학교 운동장,충청북도 제천시 하소동 49-2,128.19756470379394,37.142458162851234,3976
충청북도,제천시,남당초등학교 운동장,충청북도 제천시 영천동 760-0,128.202471777215,37.13053402309271,4437
충청북도,제천시,화산초등학교 운동장,충청북도 제천시 화산동 606-0,128.21351591162636,37.12992586645327,1500
충청북도,제천시,제천중앙공원,충청북도 제천시 중앙로2가 26-1,128.21062631278411,37.13957372404277,333
충청북도,제천시,제천종합운동장,충청북도 제천시 화산동 1-0,128.21781054477657,37.13018895503688,3485
충청북도,제천시,제천체육관의병광장,충청북도 제천시 화산동 128-1,128.21505013144989,37.13083632791308,1970
충청북도,제천시,남천초등학교 운동장,충청북도 제천시 남천동 260-0,128.21659093898876,37.136669728158296,5152
충청북도,제천시,제천제일고등학교 운동장,충청북도 제천시 동현동 15-3,128.22059316186807,37.13489451699092,3333
충청북도,제천시,제천여자고등학교 운동장,충청북도 제천시 서부동 740-0,128.20451012318816,37.136028501482,1970
충청북도,제천시,의림초등학교 운동장,충청북도 제천시 의림동 186-0,128.20681913988176,37.141103708780804,5127
충청북도,제천시,제천중학교 운동장,충청북도 제천시 서부동 251-0,128.20394550656383,37.13900817908991,4545
충청북도,충주시,소태초등학교 운동장,충청북도 충주시 소태면 오량리 199-0,127.846911,37.110879,1227
충청북도,충주시,산척초등학교 운동장,충청북도 충주시 산척면 송강리 1282-1,127.957837,37.079280,2200
충청북도,충주시,엄정초등학교 운동장,충청북도 충주시 엄정면 용산리 460-0,127.916232,37.087073,1364
충청북도,충주시,동량초등학교 운동장,충청북도 충주시 동량면 조동리 1426-1,127.965509,37.027338,1364
충청북도,충주시,중앙탑초등학교 운동장,충청북도 충주시 중앙탑면 용전리 691-0,127.830226,37.016304,667
충청북도,충주시,금가초등학교 운동장,충청북도 충주시 금가면 도촌리 400-1,127.922549,37.043817,1333
충청북도,보은군,마로면사무소 공터,충청북도 보은군 마로면 관기리 293-0,127.820381,36.435506,242
충청북도,보은군,세중초등학교 운동장,충청북도 보은군 마로면 세중리 575-2,127.829288,36.387963,939
충청북도,충주시,중원체육공원,충청북도 충주시 중앙탑면 206-3,127.856939,37.029979,2439
충청북도,보은군,속리초등학교 운동장,충청북도 보은군 장안면 장안리 243-2,127.789339,36.470891,1061
충청북도,보은군,장안면사무소 공터,충청북도 보은군 장안면 장안리 265-3,127.789081,36.469794,318
충청북도,보은군,관기초등학교 운동장,충청북도 보은군 마로면 관기리 297-0,127.821216,36.435447,1091
충청북도,보은군,서원리 마을회관 공터,충청북도 보은군 장안면 서원리 299-1,127.798349,36.479771,32
충청북도,보은군,수정초등학교 운동장,충청북도 보은군 속리산면 사내리 181-1,127.822021,36.535839,1212
충청북도,보은군,만수리 마을회관 공터,충청북도 보은군 속리산면 만수리 44-2,127.887852,36.514425,26
충청북도,보은군,속리산면사무소 공터,충청북도 보은군 속리산면 상판리 196-0,127.81047,36.512305,218
충청북도,보은군,종곡초등학교 운동장,충청북도 보은군 보은읍 강신리 54-0,127.749635,36.501605,1061
충청북도,보은군,농업기술센터 주차장,충청북도 보은군 보은읍 강산리 55-2,127.714755,36.503824,606
충청북도,보은군,뱃들공원 공터,충청북도 보은군 보은읍 이평리 175-1,127.723292,36.486351,227
충청북도,보은군,보은국민체육센터 공터,충청북도 보은군 보은읍 이평리 45-6,127.730051,36.48774,2909
충청북도,보은군,보은중학교 운동장,충청북도 보은군 보은읍 이평리 30-1,127.727326,36.485289,1727
충청북도,보은군,충북생명산업고등학교 운동장,충청북도 보은군 보은읍 교사리 123-0,127.715341,36.492013,1970
충청북도,보은군,보은정보고등학교 운동장,충청북도 보은군 보은읍 성주리 171-2,127.734215,36.490755,1121
충청북도,보은군,동광초등학교 운동장,충청북도 보은군 보은읍 교사리 54-1,127.718609,36.487598,1061
충청북도,보은군,보은고등학교 운동장,충청북도 보은군 보은읍 죽전리 61-0,127.721263,36.475325,2515
충청북도,보은군,보은여중고등학교 운동장,충청북도 보은군 보은읍 교사리 116-2,127.716806,36.494435,1667
충청북도,보은군,삼산초등학교 운동장,충청북도 보은군 보은읍 삼산리 156-3,127.717019,36.484427,1501
충청북도,보은군,보은군보건소 주차장,충청북도 보은군 보은읍 삼산리 170-2,127.716224,36.486416,194
충청북도,제천시,송학초등학교 운동장,충청북도 제천시 송학면 시곡리 1164-2,128.2618584554832,37.18491088442312,1112
충청북도,보은군,보은읍사무소 공터,충청북도 보은군 보은읍 삼산리 130-0,127.717098,36.483316,273
충청북도,제천시,입석초등학교 운동장,충청북도 제천시 송학면 입석리 609-2,128.2934873648729,37.19960239957492,3512
충청북도,제천시,송학중학교 운동장,충청북도 제천시 송학면 시곡리 1100-2,128.26508000524976,37.1879980341844,1309
충청북도,제천시,백운중학교 운동장,충청북도 제천시 백운면 평동리 570-0,128.01694939381946,37.1425368876251,3148
충청북도,제천시,백운초등학교 운동장,충청북도 제천시 백운면 평동리 595-2,128.02005020989986,37.14031127997014,862
충청북도,제천시,화당초등학교 운동장,충청북도 제천시 백운면 화당리 105-1,127.98660499690467,37.16885301910598,4437
충청북도,제천시,한송초중학교 운동장,충청북도 제천시 한수면 송계리 753-0,128.08003048596433,36.88269327582435,1152
충청북도,제천시,수산초중학교 운동장,충청북도 제천시 수산면 수산리 349-0,128.18722769656804,36.93572437971049,5560
충청북도,제천시,덕산초등학교 운동장,충청북도 제천시 덕산면 도전리 422-1,128.16968548516132,36.90791155261676,1176
충청북도,제천시,청풍초중학교 운동장,충청북도 제천시 청풍면 물태리 144-3,128.16464552466687,36.99608336673362,2705
충청북도,제천시,왕미초등학교 운동장,충청북도 제천시 봉양읍 미당리 1031-0,128.1579742053595,37.15517968182594,748
충청북도,제천시,금성초등학교 운동장,충청북도 제천시 금성면 구룡리 294-0,128.16548565149745,37.06723442591937,1804
충청북도,옥천군,동이초등학교 운동장,충청북도 옥천군 동이면 평산리 72-1,127.61921462172671,36.28596804571228,939
충청북도,제천시,봉양중학교 운동장,충청북도 제천시 봉양읍 장평리 864-1,128.12434281303916,37.1292555742911,1545
충청북도,옥천군,시외버스공영주차장,충청북도 옥천군 옥천읍 삼양리 206,127.56463636194508,36.30657953099809,961
충청북도,옥천군,옥천중학교 운동장,충청북도 옥천군 옥천읍 삼양리 163,127.56897320225035,36.305099820159484,2039
충청북도,옥천군,공영주차장,충청북도 옥천군 옥천읍 금구리 23-4,127.5703112448147,36.30099094559212,352
충청북도,옥천군,구읍 공영주차장,충청북도 옥천군 옥천읍 하계리 60,127.58081625728674,36.31423535971082,518
충청북도,옥천군,군남초등학교 운동장,충청북도 옥천군 옥천읍 서대리 279,127.58167523742969,36.27760930506341,1424
충청북도,옥천군,삼양초등학교 운동장,충청북도 옥천군 옥천읍 마암리 5-1,127.56892458895965,36.29742841915491,2985
충청북도,옥천군,가화쌈지숲공원,충청북도 옥천군 옥천읍 금구리 223,127.56092723265328,36.30559118049312,803
충청북도,옥천군,옥천여자중학교 운동장,충청북도 옥천군 옥천읍 문정리 455-2,127.57270957838739,36.304088104794786,1645
충청북도,옥천군,죽향초등학교 운동장,충청북도 옥천군 옥천읍 문정리 83,127.57741537241024,36.313312646841524,1491
충청북도,옥천군,옥천공설운동장,충청북도 옥천군 옥천읍 문정리 390,127.57362885904418,36.30255662055246,4888
충청북도,보은군,내북초등학교 운동장,충청북도 보은군 내북면 화전리 5-1,127.652051,36.575025,2667
충청북도,보은군,산외면사무소 공터,충청북도 보은군 산외면 구티리 50-1,127.73279,36.551858,288
충청북도,보은군,산외초등학교 운동장,충청북도 보은군 산외면 구티리 52-2,127.731882,36.552283,818
