일련번호,시도명,시군구명,대피지구명,대피장소명,주소,경도,위도,수용가능인원수,해변으로부터거리,대피소 분류명,내진적용여부,해발높이
260,강원도,속초시,청호1지구,설악대교,강원도 속초시 청호동 설악대교,128.59360500,38.20107100,300,190,도로변,,24
261,강원도,속초시,청호2지구,이마트,강원도 속초시 청호동 459-134,128.59578600,38.19123800,500,520,민간건축물,1등급,24
262,강원도,속초시,청호3지구,(구)대포정수장고지대,강원도 속초시 대포동 산 44,128.59995900,38.17910800,600,580,공터,,60
263,강원도,속초시,청호3지구,수질환경사업소고지대,강원도 속초시 대포동 552,128.60605700,38.18450700,630,50,공터,,18
292,경상북도,포항시남구,구룡포지구,구룡포중학교 앞,경상북도 포항시 남구 구룡포읍 구룡포리 199-47,129.56699200,35.99063100,30,260,학교운동장,,8
293,경상북도,포항시남구,구룡포지구,충혼탑 앞,경상북도 포항시 남구 구룡포읍 구룡포리 382-7,129.56080330,35.99110700,330,100,공터,,15
294,경상북도,포항시남구,구룡포지구,해은사 앞,경상북도 포항시 남구 구룡포읍 구룡포리 94-14,129.56504570,35.99695200,400,160,공터,,12
295,경상북도,포항시남구,구룡포지구,한빛수산 입구 도로,경상북도 포항시 남구 구룡포읍 구룡포리 331-18,129.56536300,35.99469500,270,260,공터,,15
296,경상북도,포항시남구,구만지구,구만리 389-1 주변,경상북도 포항시 남구 호미곶면 구만리 389-1,129.55080836,36.08135600,185,430,공터,,28
297,경상북도,포항시남구,구만지구,호미곶팬션 앞,경상북도 포항시 남구 호미곶면 구만리 491-7,129.54803360,36.08461100,50,500,공터,,9
298,경상북도,포항시남구,구평지구,건물 입구 공터,경상북도 포항시 남구 구룡포읍 구평리 112,129.53365400,35.94444600,89,425,공터,,26
