지역코드,시설일련번호,시도명,시군구명,시설명,상세주소,시설면적,경도,위도
4683000000,21,전라남도,영암군,독천초등학교 운동장,전라남도 영암군 학산면 독천리 85,3000,126.5648969371302,34.72771360183803
4683000000,22,전라남도,영암군,미암초등학교 운동장,전라남도 영암군 미암면 선황리 1190-1,2500,126.57401225068261,34.69994115606238
4684000000,2,전라남도,무안군,무안고등학교 운동장,전라남도 무안군 무안읍 성남리 1000-0,2880,126.46726306324437,34.98181665123508
4719000000,64,경상북도,구미시,매화공원,경상북도 구미시 거의동 610-2,1870,128.4122130854124,36.13860892889274
4719000000,55,경상북도,구미시,옥계중학교 운동장,경상북도 구미시 거의동 610-1,12406,128.41123915061877,36.13851048809189
4719000000,144,경상북도,구미시,옥계동부중학교 운동장,경상북도 구미시 옥계동 911,3147,128.42617048149054,36.1388338234269
4719000000,104,경상북도,구미시,함박공원,경상북도 구미시 옥계동 798-1,1499,128.42659109994835,36.13763351987346
4719000000,108,경상북도,구미시,가람공원,경상북도 구미시 옥계동 756-1,1497,128.42332235891442,36.13538416429261
4719000000,110,경상북도,구미시,한울공원,경상북도 구미시 옥계동 571,6894,128.41616572538123,36.14538013170407
4719000000,22,경상북도,구미시,나래공원,경상북도 구미시 옥계동 884,1609,128.41950361446285,36.13953618804982
4719000000,105,경상북도,구미시,옥계동부초등학교 운동장,경상북도 구미시 옥계동 910,862,128.427601867798,36.13887491611419
4721000000,25,경상북도,영주시,대영중학교 운동장,경상북도 영주시 휴천동 1770-0,1000,128.63219402298276,36.807333306987395
4721000000,24,경상북도,영주시,대영고등학교 운동장,경상북도 영주시 휴천동 1770-0,1000,128.63235383831565,36.80902543504915
4721000000,30,경상북도,영주시,선영여자고등학교 운동장,경상북도 영주시 휴천동 산112-0,1000,128.64158889833593,36.815741312411724
4721000000,35,경상북도,영주시,영주남부초등학교 운동장,경상북도 영주시 휴천동 642-180,1000,128.61791319447374,36.80807503317629
4721000000,33,경상북도,영주시,경북전문대학교 운동장,경상북도 영주시 휴천동 630-0,3000,128.61449482765062,36.805433925890576
4721000000,27,경상북도,영주시,영주동부초등학교 운동장,경상북도 영주시 휴천동 714-0,1000,128.6315367529844,36.82085509051764
4721000000,26,경상북도,영주시,영주중학교 운동장,경상북도 영주시 휴천동 704-7,1000,128.6320830903754,36.819722092779706
4721000000,45,경상북도,영주시,가흥초등학교 운동장,경상북도 영주시 가흥동 1857-0,1000,128.60910967952375,36.81351679077668
4721000000,46,경상북도,영주시,서천둔치,경상북도 영주시 가흥동 56-0,3000,128.61520506294974,36.81749760628094
4721000000,31,경상북도,영주시,영주여자중학교 운동장,경상북도 영주시 가흥동 521-12,1000,128.610717363679,36.83206077063269
4721000000,32,경상북도,영주시,시민운동장,경상북도 영주시 가흥동 900-0,3000,128.6077332995675,36.80807017186373
4721000000,37,경상북도,영주시,제일고등학교 운동장,경상북도 영주시 가흥동 488-0,1000,128.60935453501622,36.83222827231481
4721000000,36,경상북도,영주시,영주서부초등학교 운동장,경상북도 영주시 가흥동 507-6,1000,128.61224802636045,36.83201539752735
4721000000,3,경상북도,영주시,풍기초등학교 운동장,경상북도 영주시 풍기읍 성내리 22-1,1626,128.52459244697678,36.87142425416388
4721000000,5,경상북도,영주시,풍기중학교 운동장,경상북도 영주시 풍기읍 동부리 369,2925,128.53247156332856,36.870391052342825
4721000000,2,경상북도,영주시,동양대학교 주차장,경상북도 영주시 풍기읍 산법리 574,3332,128.53175887417757,36.88292435100897
4721000000,42,경상북도,영주시,광복공원,경상북도 영주시 풍기읍 산법리 376-6,1000,128.5395765940343,36.87722514550267
4721000000,4,경상북도,영주시,금계중학교 운동장,경상북도 영주시 풍기읍 금계리 279-2,2508,128.52407002025535,36.88564218178213
4721000000,6,경상북도,영주시,풍기북부초등학교 운동장,경상북도 영주시 풍기읍 교촌리 104-1,1223,128.52571301299602,36.87923560411904
4721000000,44,경상북도,영주시,경북항공고등학교 운동장,경상북도 영주시 풍기읍 교촌리 147-1,1000,128.525808830446,36.88117194994129
4721000000,7,경상북도,영주시,이산초등학교 운동장,경상북도 영주시 이산면 석포리 1036,664,128.68202042774203,36.829929587953465
4167000000,28,경기도,여주시,세종국악당,경기도 여주시 하동 107-12,1800,127.62504282586276,37.297325485686315
4167000000,32,경기도,여주시,여주시장애인복지관,경기도 여주시 하동 199-4,2640,127.63253493125005,37.29931701839044
4167000000,34,경기도,여주시,세종초등학교 운동장,경기도 여주시 교동 121-7,3120,127.63373849208226,37.27931423410885
4167000000,30,경기도,여주시,여주종합운동장,경기도 여주시 월송동 1,33677,127.62414006367571,37.29353172209395
